repository,path,role,audience,subject,owner,authority_target,review_state,disposition
agon-extender,docs/decisions/AUDIT-2026-09-01-001-open-task-and-implementation-integrity.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/AUDIT-2026-09-01-001-open-task-and-implementation-integrity.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/CA-2026-08-22-001-phase-c-compatibility-scope.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/CA-2026-08-22-001-phase-c-compatibility-scope.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/CA-2026-08-25-001-agon-uart1-pin-labels.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/CA-2026-08-25-001-agon-uart1-pin-labels.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/CA-2026-09-01-001-port008-preactivation-ready.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/CA-2026-09-01-001-port008-preactivation-ready.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/README.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/README.md,reviewed,B14: current architecture/applicability reviewed; frozen evidence and open design boundaries retained
agon-extender,docs/dependencies/README.md,maintained documentation,human and agent,docs/dependencies,agon-extender,docs/dependencies/README.md,reviewed,current body reviewed; source/evidence comparison and local/desk limits in CHECKS
agon-extender,docs/dependencies/UPSTREAM-WATCH.md,maintained documentation,human and agent,docs/dependencies,agon-extender,docs/dependencies/UPSTREAM-WATCH.md,pending,review body; retain until adjudicated
agon-extender,docs/dependencies/generated/commands/vdu-22.md,maintained documentation,human and agent,docs/dependencies/generated/commands,agon-extender,docs/dependencies/generated/commands/vdu-22.md,pending,review body; retain until adjudicated
agon-extender,docs/dependencies/generated/source-selection.md,maintained documentation,human and agent,docs/dependencies/generated,agon-extender,docs/dependencies/generated/source-selection.md,pending,review body; retain until adjudicated
agon-extender,docs/dependencies/schema/README.md,maintained documentation,human and agent,docs/dependencies/schema,agon-extender,docs/dependencies/schema/README.md,pending,review body; retain until adjudicated
agon-extender,docs/development/2026-08-20.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-08-21.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-08-22.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-08-23.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-08-24.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-08-25.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-08-27.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-08-28.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-08-29.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-08-30.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-08-31.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-01.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-05.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-07.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-08.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-09.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-10.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-11.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-12.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-13.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-14.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-15.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-16.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-17.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-19.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-20.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-21.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/development/2026-09-23.md,historical evidence,human and agent,docs/development,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/firmware-bugs.md,maintained documentation,human and agent,docs,agon-extender,docs/firmware-bugs.md,partial,scoped status/contracts inspected; remaining body/evidence not exhaustively reviewed
agon-extender,docs/firmware-bugs/mos-tests-coverage.md,maintained documentation,human and agent,docs/firmware-bugs,agon-extender,docs/firmware-bugs/mos-tests-coverage.md,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/HDMI-DRIVERS.md,maintained documentation,human and agent,docs/hardware/esp32-p4-pc,agon-extender,docs/hardware/esp32-p4-pc/HDMI-DRIVERS.md,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/README.md,maintained documentation,human and agent,docs/hardware/esp32-p4-pc,agon-extender,docs/hardware/esp32-p4-pc/README.md,reviewed,current body reviewed; source/evidence comparison and local/desk limits in CHECKS
agon-extender,docs/hardware/esp32-p4-pc/text/ESP32-P4-PC-user-manual.txt,maintained documentation,human and agent,docs/hardware/esp32-p4-pc/text,agon-extender,docs/hardware/esp32-p4-pc/text/ESP32-P4-PC-user-manual.txt,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/text/ESP32-P4-PC_Rev_B.txt,maintained documentation,human and agent,docs/hardware/esp32-p4-pc/text,agon-extender,docs/hardware/esp32-p4-pc/text/ESP32-P4-PC_Rev_B.txt,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/text/EU-DOC-ESP32-P4-PC.txt,maintained documentation,human and agent,docs/hardware/esp32-p4-pc/text,agon-extender,docs/hardware/esp32-p4-pc/text/EU-DOC-ESP32-P4-PC.txt,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/text/UKCA-ESP32-P4-PC.txt,maintained documentation,human and agent,docs/hardware/esp32-p4-pc/text,agon-extender,docs/hardware/esp32-p4-pc/text/UKCA-ESP32-P4-PC.txt,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/upstream/DOCUMENTS/ESP32-P4-PC-user-manual.pdf,reference or diagram,human and agent,docs/hardware/esp32-p4-pc/upstream/DOCUMENTS,agon-extender,retain source/provenance,metadata-only,retain; verify provenance/current applicability through owning guide
agon-extender,docs/hardware/esp32-p4-pc/upstream/HARDWARE/ESP32-P4-PC-Rev.B/ESP32-P4-PC_Rev_B.pdf,reference or diagram,human and agent,docs/hardware/esp32-p4-pc/upstream/HARDWARE/ESP32-P4-PC-Rev.B,agon-extender,retain source/provenance,metadata-only,retain; verify provenance/current applicability through owning guide
agon-extender,docs/hardware/esp32-p4-pc/upstream/LICENSE,maintained documentation,human and agent,docs/hardware/esp32-p4-pc/upstream,agon-extender,docs/hardware/esp32-p4-pc/upstream/LICENSE,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/upstream/README.md,maintained documentation,human and agent,docs/hardware/esp32-p4-pc/upstream,agon-extender,docs/hardware/esp32-p4-pc/upstream/README.md,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/Arduino/ESP32-P4-PC-MIPI-LCD-Arduino/README.md,maintained documentation,human and agent,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/Arduino/ESP32-P4-PC-MIPI-LCD-Arduino,agon-extender,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/Arduino/ESP32-P4-PC-MIPI-LCD-Arduino/README.md,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/Arduino/ESP32-P4-PC-MIPI-LCD-Arduino/arduino-esp32-boards.local.txt,maintained documentation,human and agent,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/Arduino/ESP32-P4-PC-MIPI-LCD-Arduino,agon-extender,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/Arduino/ESP32-P4-PC-MIPI-LCD-Arduino/arduino-esp32-boards.local.txt,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/ESP-IDF/p4_production_test/README.md,maintained documentation,human and agent,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/ESP-IDF/p4_production_test,agon-extender,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/ESP-IDF/p4_production_test/README.md,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/ESP-IDF/p4_production_test/components/lan_test/README.md,maintained documentation,human and agent,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/ESP-IDF/p4_production_test/components/lan_test,agon-extender,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/ESP-IDF/p4_production_test/components/lan_test/README.md,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/ESP-IDF/p4_production_test/components/usb_flash_test/README.md,maintained documentation,human and agent,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/ESP-IDF/p4_production_test/components/usb_flash_test,agon-extender,docs/hardware/esp32-p4-pc/upstream/SOFTWARE/ESP-IDF/p4_production_test/components/usb_flash_test/README.md,pending,review body; retain until adjudicated
agon-extender,docs/hardware/esp32-p4-pc/website/EU-DOC-ESP32-P4-PC.pdf,reference or diagram,human and agent,docs/hardware/esp32-p4-pc/website,agon-extender,retain source/provenance,metadata-only,retain; verify provenance/current applicability through owning guide
agon-extender,docs/hardware/esp32-p4-pc/website/UKCA-ESP32-P4-PC.pdf,reference or diagram,human and agent,docs/hardware/esp32-p4-pc/website,agon-extender,retain source/provenance,metadata-only,retain; verify provenance/current applicability through owning guide
agon-extender,docs/mainboard-sd.md,maintained documentation,human and agent,docs,agon-extender,docs/mainboard-sd.md,reviewed,current body reviewed; corrections/retention in CHECKS and FINDINGS
agon-extender,docs/mos-recovery.md,maintained documentation,human and agent,docs,agon-extender,docs/mos-recovery.md,reviewed,current body reviewed against maintained source; operational corrections in FINDINGS; no hardware execution
agon-extender,docs/procedures/mainboard-sd-qualification-r01.md,maintained documentation,human and agent,docs/procedures,agon-extender,docs/procedures/mainboard-sd-qualification-r01.md,partial,scoped status/contracts inspected; remaining body/evidence not exhaustively reviewed
agon-extender,docs/procedures/numeric-upstream-import-r01.md,maintained documentation,human and agent,docs/procedures,agon-extender,docs/procedures/numeric-upstream-import-r01.md,pending,review body; retain until adjudicated
agon-extender,docs/procedures/p4-browser-video-qualification-r01.md,maintained documentation,human and agent,docs/procedures,agon-extender,docs/procedures/p4-browser-video-qualification-r01.md,pending,review body; retain until adjudicated
agon-extender,docs/procedures/p4-canary-r02.md,maintained documentation,human and agent,docs/procedures,agon-extender,docs/procedures/p4-canary-r02.md,pending,review body; retain until adjudicated
agon-extender,docs/procedures/p4-canary-r03.md,maintained documentation,human and agent,docs/procedures,agon-extender,docs/procedures/p4-canary-r03.md,pending,review body; retain until adjudicated
agon-extender,docs/procedures/p4-frame-service-qualification-r01.md,maintained documentation,human and agent,docs/procedures,agon-extender,docs/procedures/p4-frame-service-qualification-r01.md,pending,review body; retain until adjudicated
agon-extender,docs/procedures/p4-frame-service-qualification-r02.md,maintained documentation,human and agent,docs/procedures,agon-extender,docs/procedures/p4-frame-service-qualification-r02.md,pending,review body; retain until adjudicated
agon-extender,docs/procedures/p4-frame-service-qualification-r03.md,maintained documentation,human and agent,docs/procedures,agon-extender,docs/procedures/p4-frame-service-qualification-r03.md,pending,review body; retain until adjudicated
agon-extender,docs/procedures/port-008-forward-qualification-r01.md,maintained documentation,human and agent,docs/procedures,agon-extender,docs/procedures/port-008-forward-qualification-r01.md,pending,review body; retain until adjudicated
agon-extender,docs/protocols/browser-video.md,maintained documentation,human and agent,docs/protocols,agon-extender,docs/protocols/browser-video.md,reviewed,current body reviewed; source/evidence comparison and local/desk limits in CHECKS
agon-extender,docs/protocols/excom-console.md,maintained documentation,human and agent,docs/protocols,agon-extender,docs/protocols/excom-console.md,reviewed,current protocol/source comparison; duplicate web contract redirected to maintained authority
agon-extender,docs/protocols/mainboard-sd.md,maintained documentation,human and agent,docs/protocols,agon-extender,docs/protocols/mainboard-sd.md,reviewed,current body reviewed against maintained source; operational corrections in FINDINGS; no hardware execution
agon-extender,docs/public-release-readiness.md,maintained documentation,human and agent,docs,agon-extender,docs/public-release-readiness.md,reviewed,current body reviewed; corrections/retention in CHECKS and FINDINGS
agon-extender,docs/qualification/README.md,historical evidence,human and agent,docs/qualification,agon-extender,owning task/index; dated evidence,reviewed,current body reviewed; source/evidence comparison and local/desk limits in CHECKS
agon-extender,docs/qualification/bench-constraints.md,historical evidence,human and agent,docs/qualification,agon-extender,owning task/index; dated evidence,reviewed,current body reviewed; source/evidence comparison and local/desk limits in CHECKS
agon-extender,docs/qualification/capture-failure-protocol.md,historical evidence,human and agent,docs/qualification,agon-extender,owning task/index; dated evidence,reviewed,current body reviewed; source/evidence comparison and local/desk limits in CHECKS
agon-extender,docs/qualification/generated/compatibility-matrix.md,historical evidence,human and agent,docs/qualification/generated,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/secondary-capabilities.md,historical evidence,human and agent,docs/qualification/generated,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/vdu-inventory.md,historical evidence,human and agent,docs/qualification/generated,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/blocked-obligations.md,historical evidence,human and agent,docs/qualification/generated/views,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/compatibility-obligations.md,historical evidence,human and agent,docs/qualification/generated/views,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/mode-cooperative.md,historical evidence,human and agent,docs/qualification/generated/views,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/mode-edp-exclusive.md,historical evidence,human and agent,docs/qualification/generated/views,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/mode-legacy.md,historical evidence,human and agent,docs/qualification/generated/views,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/tasks/PORT-003.md,historical evidence,human and agent,docs/qualification/generated/views/tasks,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/tasks/PORT-004.md,historical evidence,human and agent,docs/qualification/generated/views/tasks,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/tasks/PORT-005.md,historical evidence,human and agent,docs/qualification/generated/views/tasks,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/tasks/PORT-006.md,historical evidence,human and agent,docs/qualification/generated/views/tasks,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/tasks/PORT-007.md,historical evidence,human and agent,docs/qualification/generated/views/tasks,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/tasks/PORT-008.md,historical evidence,human and agent,docs/qualification/generated/views/tasks,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/tasks/QUAL-002.md,historical evidence,human and agent,docs/qualification/generated/views/tasks,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/generated/views/tasks/SETUP-005.md,historical evidence,human and agent,docs/qualification/generated/views/tasks,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/mainboard-sd/2026-09-13.md,historical evidence,human and agent,docs/qualification/mainboard-sd,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/mainboard-stock/2026-09-17.md,historical evidence,human and agent,docs/qualification/mainboard-stock,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/schema/README.md,historical evidence,human and agent,docs/qualification/schema,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/qualification/staged-circuit-validation.md,historical evidence,human and agent,docs/qualification,agon-extender,owning task/index; dated evidence,metadata-only,retain dated evidence; reconcile current claims through owning task
agon-extender,docs/remote-keyboard.md,maintained documentation,human and agent,docs,agon-extender,docs/remote-keyboard.md,reviewed,current body reviewed; corrections/retention in CHECKS and FINDINGS
agon-extender,docs/sd-layout.md,maintained documentation,human and agent,docs,agon-extender,docs/sd-layout.md,reviewed,current body reviewed; source/evidence comparison and local/desk limits in CHECKS
agon-extender,docs/tasks/ADMIN-001.md,task,human and agent,docs/tasks,agon-extender,retain source/provenance,pending,reconcile status with TODO/evidence; retain identity
agon-extender,docs/tasks/ADMIN-001/findings.md,task evidence/research,human and agent,docs/tasks/ADMIN-001,agon-extender,owning task/index; dated evidence,pending,retain; inspect current reusable instructions before promotion
agon-extender,docs/tasks/AUDIO-001.md,task,human and agent,docs/tasks,agon-extender,retain source/provenance,pending,reconcile status with TODO/evidence; retain identity
agon-extender,docs/tasks/AUDIO-001/README.md,task evidence/research,human and agent,docs/tasks/AUDIO-001,agon-extender,owning task/index; dated evidence,pending,retain; inspect current reusable instructions before promotion
agon-extender,docs/tasks/AUDIO-001/RESULTS.md,task evidence/research,human and agent,docs/tasks/AUDIO-001,agon-extender,owning task/index; dated evidence,pending,retain; inspect current reusable instructions before promotion
agon-extender,docs/tasks/AUDIT-001.md,task,human and agent,docs/tasks,agon-extender,retain source/provenance,pending,reconcile status with TODO/evidence; retain identity
agon-extender,docs/tasks/AUDIT-002.md,task,human and agent,docs/tasks,agon-extender,retain source/provenance,pending,reconcile status with TODO/evidence; retain identity
agon-extender,docs/tasks/AUDIT-002/README.md,task evidence/research,human and agent,docs/tasks/AUDIT-002,agon-extender,owning task/index; dated evidence,pending,retain; inspect current reusable instructions before promotion
agon-extender,docs/tasks/AUDIT-002/findings.md,task evidence/research,human and agent,docs/tasks/AUDIT-002,agon-extender,owning task/index; dated evidence,pending,retain; inspect current reusable instructions before promotion
